vehicle	group	manufacturer	model	division	powertrain	status	thumbnail
201	201-223	Van Hool	2005 AG300	BRT - TOK Transit	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
202	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
203	201-223	Van Hool	2005 AG300	BRT - TOK Transit	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
204	201-223	Van Hool	2005 AG300	BRT - TOK Transit	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
205	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://media.discordapp.net/attachments/385830976879722499/466434640266395658/IMG_3304.JPG?width=500&height=300	10 July 2018
206	201-223	Van Hool	2005 AG300	BRT - TOK Transit	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
207	201-223	Van Hool	2005 AG300	BRT - TOK Transit	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
208	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
209	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
210	201-223	Van Hool	2005 AG300	BRT - TOK Transit	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
211	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
212	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
213	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
214	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
215	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
216	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
217	201-223	Van Hool	2005 AG300	BRT - TOK Transit	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
218	201-223	Van Hool	2005 AG300	BRT - TOK Transit	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
219	201-223	Van Hool	2005 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
220	201-223	Van Hool	2005 AG300	BRT - TOK Transit	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
221	201-223	Van Hool	2006 AG300	BRT - TOK Transit	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
222	201-223	Van Hool	2006 AG300	BRT - TOK Transit	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
223	201-223	Van Hool	2006 AG300	Southwest - Transdev	ISM-D864.3E	Active	https://cptdb.ca/wiki/images/thumb/7/7e/York_Region_Transit_201-b.jpg/800px-York_Region_Transit_201-b.jpg	9 July 2018
311	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
312	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
313	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
314	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
315	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
316	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
317	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
318	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
319	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
320	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
321	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
322	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
323	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
324	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
325	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
326	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
327	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
328	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
329	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
330	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
331	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
332	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
333	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
334	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
335	311-335	New Flyer	2003 D40LF	Southwest - Transdev	ISL-D864.3E	Active		9 July 2018
401	401-412	New Flyer	2004 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
402	401-412	New Flyer	2004 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
403	401-412	New Flyer	2004 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
404	401-412	New Flyer	2004 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
405	401-412	New Flyer	2004 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
406	401-412	New Flyer	2004 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
407	401-412	New Flyer	2004 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
408	401-412	New Flyer	2004 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
409	401-412	New Flyer	2004 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
410	401-412	New Flyer	2004 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
411	401-412	New Flyer	2004 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
412	401-412	New Flyer	2004 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
541	541-570	ElDorado	2005 E-Z Rider II	N/A	ISB-B300R	Retired		9 July 2018
542	541-570	ElDorado	2005 E-Z Rider II	North - TOK Transit	ISB-B300R	Active		9 July 2018
543	541-570	ElDorado	2005 E-Z Rider II	North - TOK Transit	ISB-B300R	Active		9 July 2018
544	541-570	ElDorado	2005 E-Z Rider II	N/A	ISB-B300R	Retired		9 July 2018
545	541-570	ElDorado	2005 E-Z Rider II	N/A	ISB-B300R	Retired		9 July 2018
546	541-570	ElDorado	2005 E-Z Rider II	Southwest - Transdev	ISB-B300R	Active	https://cdn.discordapp.com/attachments/385830976879722499/466619906461270026/IMG_0366.JPG	11 July 2018
547	541-570	ElDorado	2005 E-Z Rider II	Southwest - Transdev	ISB-B300R	Active		9 July 2018
548	541-570	ElDorado	2005 E-Z Rider II	N/A	ISB-B300R	Retired		9 July 2018
549	541-570	ElDorado	2005 E-Z Rider II	N/A	ISB-B300R	Retired		9 July 2018
550	541-570	ElDorado	2005 E-Z Rider II	North - TOK Transit	ISB-B300R	Inactive		9 July 2018
551	541-570	ElDorado	2005 E-Z Rider II	N/A	ISB-B300R	Retired		9 July 2018
552	541-570	ElDorado	2005 E-Z Rider II	N/A	ISB-B300R	Retired		9 July 2018
553	541-570	ElDorado	2005 E-Z Rider II	N/A	ISB-B300R	Retired		9 July 2018
554	541-570	ElDorado	2005 E-Z Rider II	N/A	ISB-B300R	Retired		9 July 2018
555	541-570	ElDorado	2005 E-Z Rider II	N/A	ISB-B300R	Retired		9 July 2018
556	541-570	ElDorado	2005 E-Z Rider II	North - TOK Transit	ISB-B300R	Active		9 July 2018
557	541-570	ElDorado	2005 E-Z Rider II	N/A	ISB-B300R	Retired		9 July 2018
558	541-570	ElDorado	2005 E-Z Rider II	Southeast - Miller	ISB-B300R	Active		9 July 2018
559	541-570	ElDorado	2005 E-Z Rider II	North - TOK Transit	ISB-B300R	Active		9 July 2018
560	541-570	ElDorado	2005 E-Z Rider II	N/A	ISB-B300R	Retired		9 July 2018
561	541-570	ElDorado	2005 E-Z Rider II	Southeast - Miller	ISB-B300R	Active		9 July 2018
562	541-570	ElDorado	2005 E-Z Rider II	North - TOK Transit	ISB-B300R	Active		9 July 2018
563	541-570	ElDorado	2005 E-Z Rider II	N/A	ISB-B300R	Retired		9 July 2018
564	541-570	ElDorado	2005 E-Z Rider II	Southeast - Miller	ISB-B300R	Active		9 July 2018
565	541-570	ElDorado	2005 E-Z Rider II	Southeast - Miller	ISB-B300R	Active		9 July 2018
566	541-570	ElDorado	2005 E-Z Rider II	North - TOK Transit	ISB-B300R	Active		9 July 2018
567	541-570	ElDorado	2005 E-Z Rider II	N/A	ISB-B300R	Retired		9 July 2018
568	541-570	ElDorado	2005 E-Z Rider II	N/A	ISB-B300R	Retired		9 July 2018
569	541-570	ElDorado	2005 E-Z Rider II	North - TOK Transit	ISB-B300R	Active		9 July 2018
570	541-570	ElDorado	2005 E-Z Rider II	North - TOK Transit	ISB-B300R	Active		9 July 2018
601	601-609	New Flyer	2005 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
602	601-609	New Flyer	2005 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
603	601-609	New Flyer	2005 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
604	601-609	New Flyer	2005 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
605	601-609	New Flyer	2005 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
606	601-609	New Flyer	2005 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
607	601-609	New Flyer	2005 D40LF	North - TOK Transit	ISL-D864.3E	Active		9 July 2018
608	601-609	New Flyer	2005 D40LF	North - TOK Transit	ISL-D864.3E	Active		9 July 2018
609	601-609	New Flyer	2005 D40LF	North - TOK Transit	ISL-D864.3E	Active		9 July 2018
610	610-618	New Flyer	2006 D40LF	North - TOK Transit	ISL-D864.3E	Active		9 July 2018
611	610-618	New Flyer	2006 D40LF	North - TOK Transit	ISL-D864.3E	Active		9 July 2018
612	610-618	New Flyer	2006 D40LF	North - TOK Transit	ISL-D864.3E	Active		9 July 2018
613	610-618	New Flyer	2006 D40LF	North - TOK Transit	ISL-D864.3E	Active		9 July 2018
614	610-618	New Flyer	2006 D40LF	North - TOK Transit	ISL-D864.3E	Active		9 July 2018
615	610-618	New Flyer	2006 D40LF	North - TOK Transit	ISL-D864.3E	Active		9 July 2018
616	610-618	New Flyer	2006 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
617	610-618	New Flyer	2006 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
618	610-618	New Flyer	2006 D40LF	Southeast - Miller	ISL-D864.3E	Active		9 July 2018
619	619-623	ElDorado	2006 E-Z Rider II	Southwest - Transdev	ISB-B300R	Inactive		9 July 2018
620	619-623	ElDorado	2006 E-Z Rider II	Southwest - Transdev	ISB-B300R	Inactive		9 July 2018
621	619-623	ElDorado	2006 E-Z Rider II	Southwest - Transdev	ISB-B300R	Inactive		9 July 2018
622	619-623	ElDorado	2006 E-Z Rider II	N/A	ISB-B300R	Retired		9 July 2018
623	619-623	ElDorado	2006 E-Z Rider II	Southwest - Transdev	ISB-B300R	Active	https://cdn.discordapp.com/attachments/385830976879722499/466620265363931162/IMG_0369.JPG	11 July 2018
701	701-730	New Flyer	2007 D40LF	North - TOK Transit	ISL-D864.5	Active		9 July 2018
702	701-730	New Flyer	2007 D40LF	North - TOK Transit	ISL-D864.5	Active		9 July 2018
703	701-730	New Flyer	2007 D40LF	Southwest - Transdev	ISL-D864.5	Active		9 July 2018
704	701-730	New Flyer	2007 D40LF	Southwest - Transdev	ISL-D864.5	Active		9 July 2018
705	701-730	New Flyer	2007 D40LF	Southwest - Transdev	ISL-D864.5	Active		9 July 2018
706	701-730	New Flyer	2007 D40LF	Southwest - Transdev	ISL-D864.5	Active		9 July 2018
707	701-730	New Flyer	2007 D40LF	Southwest - Transdev	ISL-D864.5	Active		9 July 2018
708	701-730	New Flyer	2007 D40LF	Southwest - Transdev	ISL-D864.5	Active		9 July 2018
709	701-730	New Flyer	2007 D40LF	Southwest - Transdev	ISL-D864.5	Active		9 July 2018
710	701-730	New Flyer	2007 D40LF	Southeast - Miller	ISL-D864.5	Active		9 July 2018
711	701-730	New Flyer	2007 D40LF	Southeast - Miller	ISL-D864.5	Active		9 July 2018
712	701-730	New Flyer	2007 D40LF	Southeast - Miller	ISL-D864.5	Active		9 July 2018
713	701-730	New Flyer	2007 D40LF	Southwest - Transdev	ISL-D864.5	Active		9 July 2018
714	701-730	New Flyer	2007 D40LF	Southwest - Transdev	ISL-D864.5	Active		9 July 2018
715	701-730	New Flyer	2007 D40LF	Southwest - Transdev	ISL-D864.5	Active		9 July 2018
