-AA-							
AAA	NTGA	Anaa Airport	Anaa, Tuamotus, French Polynesia	UTC-10:00			
AAB	YARY	Arrabury Airport	Arrabury, Queensland, Australia	UTC+10:00			
AAC	HEAR	El Arish International Airport	El Arish, Egypt	UTC+02:00			
AAD		Adado Airport	Adado (Cadaado), Galguduud, Somalia	UTC+03:00			
AAE	DABB	Rabah Bitat Airport (Les Salines Airport)	Annaba, Algeria	UTC+01:00			
AAF	KAAF	Apalachicola Regional Airport	Apalachicola, Florida, United States	UTC-05:00	Mar-Nov		
AAG	SSYA	Arapoti Airport	Arapoti, Parana, Brazil	UTC-03:00	Oct-Feb		
AAH	EDKA	Merzbrück Airport	Aachen, North Rhine-Westphalia, Germany	UTC+01:00	Mar-Oct		
AAI	SWRA	Arraias Airport	Arraias, Tocantins, Brazil	UTC-03:00			
AAJ	SMCA	Cayana Airstrip	Awaradam, Suriname	UTC-03:00			
AAK	NGUK	Aranuka Airport	Aranuka, Kiribati	UTC+12:00			
AAL	EKYT	Aalborg Airport	Aalborg, Denmark	UTC+01:00	Mar-Oct		
AAM	FAMD	Mala Mala Airport	Mala Mala, South Africa	UTC+02:00			
AAN	OMAL	Al Ain International Airport	Al Ain, United Arab Emirates	UTC+04:00			
AAO	SVAN	Anaco Airport	Anaco, Venezuela	UTC-04:00			
AAQ	URKA	Anapa Airport	Anapa, Krasnodar Krai, Russia	UTC+03:00			
AAR	EKAH	Aarhus Airport	Aarhus, Denmark	UTC+01:00	Mar-Oct		
AAS		Apalapsili Airport	Apalapsili, Indonesia	UTC+09:00			
AAT	ZWAT	Altay Airport	Altay, Xinjiang, China	UTC+06:00			
AAU	NSAU	Asau Airport	Asau, Savai'i Island, Samoa	UTC+13:00	Sep-Apr		
AAV	RPMA	Allah Valley Airport	Surallah, Philippines	UTC+08:00			
AAX	SBAX	Araxa Airport	Araxa, Minas Gerais, Brazil	UTC-03:00	Oct-Feb		
AAY	OYGD	Al Ghaydah Airport	Al Ghaydah, Yemen	UTC+03:00			
AAZ	MGQZ	Quetzaltenango Airport	Quetzaltenango, Guatemala	UTC-06:00			
-AB-							
ABA	UNAA	Abakan International Airport	Abakan, Republic of Khakassia, Russia	UTC+07:00			
ABB	DNAS	Asaba International Airport	Asaba, Nigeria	UTC+01:00			
ABC	LEAB	Albacete Airport	Albacete, Castilla-La Mancha, Spain	UTC+01:00	Mar-Oct		
ABD	OIAA	Abadan International Airport	Abadan, Iran	UTC+03:30	Mar-Sep		
ABE	KABE	Lehigh Valley International Airport	Allentown, Pennsylvania, United States	UTC-05:00	Mar-Nov		
ABF	NGAB	Abaiang Atoll Airport	Abaiang, Kiribati	UTC+12:00			
ABG	YABI	Abingdon Airport	Abingdon, Queensland, Australia	UTC+10:00			
ABH	YAPH	Alpha Airport	Alpha, Queensland, Australia	UTC+10:00			
ABI	KABI	Abilene Regional Airport	Abilene, Texas, United States	UTC-06:00	Mar-Nov		
ABJ	DIAP	Port Bouet Airport (Felix Houphouet Boigny Int'l)	Abidjan, Cote d'Ivoire	UTC+00:00			
ABK	HAKD	Kabri Dar Airport	Kebri Dahar, Ethiopia	UTC+03:00			
ABL	PAFM	Ambler Airport (FAA: AFM)	Ambler, Alaska, United States	UTC-09:00	Mar-Nov		
ABM	YNPE	Northern Peninsula Airport	Bamaga, Queensland, Australia	UTC+10:00			
ABN	SMBN	Albina Airstrip	Albina, Suriname	UTC-03:00			
ABO	DIAO	Aboisso Airport	Aboisso, Cote d'Ivoire	UTC+00:00			
ABP		Atkamba Airport	Atkamba, Papua New Guinea	UTC+10:00			
ABQ	KABQ	Albuquerque International Sunport	Albuquerque, New Mexico, United States	UTC-07:00	Mar-Nov		
ABR	KABR	Aberdeen Regional Airport	Aberdeen, South Dakota, United States	UTC-06:00	Mar-Nov		
ABS	HEBL	Abu Simbel Airport	Abu Simbel, Egypt	UTC+02:00			
ABT	OEBA	Al-Baha Domestic Airport	Al-Baha, Saudi Arabia	UTC+03:00			
ABU	WATA	Haliwen Airport	Atambua, Indonesia	UTC+08:00			
ABV	DNAA	Nnamdi Azikiwe International Airport	Abuja, Nigeria	UTC+01:00			
ABW		Abau Airport	Abau, Papua New Guinea	UTC+10:00			
ABX	YMAY	Albury Airport	Albury, New South Wales, Australia	UTC+10:00	Oct-Apr		
ABY	KABY	Southwest Georgia Regional Airport	Albany, Georgia, United States	UTC-05:00	Mar-Nov		
ABZ	EGPD	Aberdeen Airport	Aberdeen, Scotland, United Kingdom	UTC+00:00	Mar-Oct		
-AC-							
ACA	MMAA	General Juan N. alvarez International Airport	Acapulco, Guerrero, Mexico	UTC-06:00	Apr-Oct		
ACB	KACB	Antrim County Airport	Bellaire, Michigan, United States	UTC-05:00	Mar-Nov		
ACC	DGAA	Kotoka International Airport	Accra, Ghana	UTC+00:00			
ACD	SKAD	Alcides Fernandez Airport	Acandi, Colombia	UTC-05:00			
ACE	GCRR	Lanzarote Airport	Lanzarote, Canary Islands, Spain	UTC+00:00	Mar-Oct		
ACH	LSZR	St. Gallen–Altenrhein Airport	Altenrhein, Switzerland	UTC+01:00	Mar-Oct		
ACI	EGJA	Alderney Airport	Alderney, Channel Islands, United Kingdom	UTC+00:00	Mar-Oct		
ACJ	VCCA	Anuradhapura Airport	Anuradhapura, Sri Lanka	UTC+05:30			
ACK	KACK	Nantucket Memorial Airport	Nantucket, Massachusetts, United States	UTC-05:00	Mar-Nov		
ACL		Aguaclara Airport	Aguaclara, Colombia	UTC-05:00			
ACM		Arica Airport	Arica, Colombia	UTC-05:00			
ACN	MMCC	Ciudad Acuna International Airport	Ciudad Acuna, Coahuila, Mexico	UTC-06:00	Mar-Nov		
ACP	OITM	Sahand Airport	Maragheh, Iran	UTC+03:30	Mar-Sep		
ACR	SKAC	Araracuara Airport	Araracuara, Colombia	UTC-05:00			
ACS	UNKS	Achinsk Airport	Achinsk, Krasnoyarsk Krai, Russia	UTC+07:00			
ACT	KACT	Waco Regional Airport	Waco, Texas, United States	UTC-06:00	Mar-Nov		
ACU		Achutupo Airport	Achutupo, Panama	UTC-05:00			
ACV	KACV	Arcata-Eureka Airport	Eureka / Arcata, California, United States	UTC-08:00	Mar-Nov		
ACX	ZUYI	Xingyi Wanfenglin Airport	Xingyi, Guizhou, China	UTC+08:00			
ACY	KACY	Atlantic City International Airport	Atlantic City, New Jersey, United States	UTC-05:00	Mar-Nov		
ACZ	OIZB	Zabol Airport	Zabol, Iran	UTC+03:30	Mar-Sep		
-AD-							
ADA	LTAF	Adana Sakirpasa Airport	Adana, Turkey	UTC+03:00			
ADB	LTBJ	Adnan Menderes Airport	Izmir, Turkey	UTC+03:00			
ADC	AYAN	Andakombe Airport	Andakombe, Papua New Guinea	UTC+10:00			
ADD	HAAB	Bole International Airport	Addis Ababa, Ethiopia	UTC+03:00			
ADE	OYAA	Aden International Airport	Aden, Yemen	UTC+03:00			
ADF	LTCP	Adiyaman Airport	Adiyaman, Turkey	UTC+03:00			
ADG	KADG	Lenawee County Airport	Adrian, Michigan, United States	UTC-05:00	Mar-Nov		
ADH	UEEA	Aldan Airport	Aldan, Yakutia, Russia	UTC+09:00			
ADI	FYAR	Arandis Airport	Arandis, Namibia	UTC+01:00	Sep-Apr		
ADJ	OJAM	Amman Civil Airport (Marka International Airport)	Amman, Jordan	UTC+02:00	Mar-Oct		
ADK	PADK	Adak Airport	Adak Island, Alaska, United States	UTC-10:00	Mar-Nov		
ADL	YPAD	Adelaide Airport	Adelaide, South Australia, Australia	UTC+09:30	Oct-Apr		
ADM	KADM	Ardmore Municipal Airport	Ardmore, Oklahoma, United States	UTC-06:00	Mar-Nov		
ADN	SKAN	Andes Airport	Andes, Colombia	UTC-05:00			
ADO	YAMK	Andamooka Airport	Andamooka, South Australia, Australia	UTC+09:30	Oct-Apr		
ADP	VCCG	Ampara Airport	Ampara, Sri Lanka	UTC+05:30			
ADQ	PADQ	Kodiak Airport	Kodiak, Alaska, United States	UTC-09:00	Mar-Nov		
ADR	KPHH	Robert F. Swinnie Airport (FAA: PHH)	Andrews, South Carolina, United States	UTC-05:00	Mar-Nov		
ADS	KADS	Addison Airport	Dallas, Texas, United States	UTC-06:00	Mar-Nov		
ADT	KADH	Ada Municipal Airport (FAA: ADH)	Ada, Oklahoma, United States	UTC-06:00	Mar-Nov		
ADU	OITL	Ardabil Airport	Ardabil, Iran	UTC+03:30	Mar-Sep		
ADV		Ed Daein Airport	Ed Daein, Sudan	UTC+03:00			
ADW	KADW	Andrews Field (Andrews Air Force Base)	Camp Springs, Maryland, United States	UTC-05:00	Mar-Nov		
ADX	EGQL	RAF Leuchars	St Andrews, Scotland, United Kingdom	UTC+00:00	Mar-Oct		
ADY	FAAL	Alldays Airport	Alldays, South Africa	UTC+02:00			
ADZ	SKSP	Gustavo Rojas Pinilla International Airport	San Andres Island, Colombia	UTC-05:00			
-AE-							
AEA	NGTB	Abemama Atoll Airport	Abemama Atoll, Kiribati	UTC+12:00			
AEB	ZGBS	Baise Bama Airport	Baise, Guangxi, China	UTC+08:00			
AEE		Adareil Airport	Adareil, South Sudan	UTC+03:00			
AEG	WIME	Aek Godang Airport	Padang Sidempuan, Indonesia	UTC+07:00			
AEH	FTTC	Abeche Airport	Abeche, Chad	UTC+01:00			
AEK	AYAX	Aseki Airport	Aseki, Papua New Guinea	UTC+10:00			
AEL	KAEL	Albert Lea Municipal Airport	Albert Lea, Minnesota, United States	UTC-06:00	Mar-Nov		
AEM	UHTG	Amgu Airport	Amgu, Primorsky Krai, Russia	UTC+10:00			
AEO	GQNA	Aioun el Atrouss Airport	Aioun el Atrouss, Mauritania	UTC+00:00			
AEP	SABE	Jorge Newbery Airpark	Buenos Aires, Argentina	UTC-03:00			
AER	URSS	Sochi International Airport	Sochi, Krasnodar Krai, Russia	UTC+03:00			
AES	ENAL	alesund Airport, Vigra	alesund, Norway	UTC+01:00	Mar-Oct		
AET	PFAL	Allakaket Airport (FAA: 6A8)	Allakaket, Alaska, United States	UTC-09:00	Mar-Nov		
AEU	OIBA	Abu Musa Airport	Abu Musa Island, Iran	UTC+03:30	Mar-Sep		
AEX	KAEX	Alexandria International Airport	Alexandria, Louisiana, United States	UTC-06:00	Mar-Nov		
AEY	BIAR	Akureyri Airport	Akureyri, Iceland	UTC+00:00			
-AF-							
AFA	SAMR	San Rafael Airport	San Rafael, Mendoza, Argentina	UTC-03:00			
AFD	FAPA	Port Alfred Airport	Port Alfred, South Africa	UTC+02:00			
AFF	KAFF	United States Air Force Academy Airfield	Colorado Springs, Colorado, United States	UTC-07:00	Mar-Nov		
AFI	SKAM	Amalfi Airport	Amalfi, Colombia	UTC-05:00			
AFK		Kondavattavan Tank Seaplane Base	Ampara, Sri Lanka	UTC+05:30			
AFL	SBAT	Alta Floresta Airport	Alta Floresta, Mato Grosso, Brazil	UTC-04:00	Oct-Feb		
AFN	KAFN	Jaffrey Airport–Silver Ranch	Jaffrey, New Hampshire, United States	UTC-05:00	Mar-Nov		
AFO	KAFO	Afton Municipal Airport	Afton, Wyoming, United States	UTC-07:00	Mar-Nov		
AFR	AYAF	Afore Airport	Afore, Papua New Guinea	UTC+10:00			
AFS	UTSN	Zarafshan Airport	Zarafshan, Uzbekistan	UTC+05:00			
AFT	AGAF	Afutara Airport	Afutara, Malaita, Solomon Islands	UTC+11:00			
AFW	KAFW	Fort Worth Alliance Airport	Fort Worth, Texas, United States	UTC-06:00	Mar-Nov		
AFY	LTAH	Afyon Airport	Afyon, Turkey	UTC+03:00			
AFZ	OIMS	Sabzevar Airport	Sabzevar, Iran	UTC+03:30	Mar-Sep		
-AG-							
AGA	GMAD	Agadir–Al Massira Airport	Agadir, Morocco	UTC+00:00	Mar-Oct1		
AGB	EDMA	Augsburg Airport	Augsburg, Bavaria, Germany	UTC+01:00	Mar-Oct		
AGC	KAGC	Allegheny County Airport	Pittsburgh, Pennsylvania, United States	UTC-05:00	Mar-Nov		
AGD	WASG	Anggi Airport	Anggi, Indonesia	UTC+09:00			
AGE	EDWG	Wangerooge Airport	Wangerooge, Lower Saxony, Germany	UTC+01:00	Mar-Oct		
AGF	LFBA	Agen La Garenne Airport	Agen, Aquitaine, France	UTC+01:00	Mar-Oct		
AGG		Angoram Airport	Angoram, Papua New Guinea	UTC+10:00			
AGH	ESTA	Ängelholm–Helsingborg Airport (former ICAO: ESDB)	Ängelholm, Sweden	UTC+01:00	Mar-Oct		
AGI	SMWA	Wageningen Airstrip	Wageningen, Suriname	UTC-03:00			
AGJ	RORA	Aguni Airport	Aguni, Okinawa, Japan	UTC+09:00			
AGK		Kagua Airport	Kagua, Papua New Guinea	UTC+10:00			
AGL	AYWG	Wanigela Airport	Wanigela, Papua New Guinea	UTC+10:00			
AGN	PAGN	Angoon Seaplane Base	Angoon, Alaska, United States	UTC-09:00	Mar-Nov		
AGO	KAGO	Magnolia Municipal Airport	Magnolia, Arkansas, United States	UTC-06:00	Mar-Nov		
AGP	LEMG	Malaga Airport	Malaga, Andalusia, Spain	UTC+01:00	Mar-Oct		
AGQ	LGAG	Agrinion Airport	Agrinion, Greece	UTC+02:00	Mar-Oct		
AGR	VIAG	Agra Airport	Agra, Uttar Pradesh, India	UTC+05:30			
AGS	KAGS	Augusta Regional Airport at Bush Field	Augusta, Georgia, United States	UTC-05:00	Mar-Nov		
AGT	SGES	Guarani International Airport	Ciudad del Este, Paraguay	UTC-04:00	Oct-Mar		
AGU	MMAS	Lic. Jesus Teran Peredo International Airport	Aguascalientes, Aguascalientes, Mexico	UTC-06:00	Apr-Oct		
AGV	SVAC	Oswaldo Guevara Mujica Airport	Acarigua, Venezuela	UTC-04:00			
AGW		Agnew Airport	Agnew, Queensland, Australia	UTC+10:00			
AGX	VOAT	Agatti Aerodrome	Agatti Island, Lakshadweep, India	UTC+05:30			
AGZ	FAAG	Aggeneys Airport	Aggeneys, South Africa	UTC+02:00			
-AH-							
AHB	OEAB	Abha Regional Airport	Abha, Saudi Arabia	UTC+03:00			
AHC	KAHC	Amedee Army Airfield	Herlong, California, United States	UTC-08:00	Mar-Nov		
AHD		Ardmore Downtown Executive Airport (FAA: 1F0)	Ardmore, Oklahoma, United States	UTC-06:00	Mar-Nov		
AHE	NTHE	Ahe Airport	Ahe, Tuamotus, French Polynesia	UTC-10:00			
AHF		Arapahoe Municipal Airport (FAA: 37V)	Arapahoe, Nebraska, United States	UTC-06:00	Mar-Nov		
AHH	KAHH	Amery Municipal Airport	Amery, Wisconsin, United States	UTC-06:00	Mar-Nov		
AHI	WAPA	Amahai Airport	Amahai, Indonesia	UTC+09:00			
AHJ	ZUHY	Hongyuan Airport	Hongyuan, Sichuan, China	UTC+08:00			
AHL	SYAH	Aishalton Airport	Aishalton, Guyana	UTC-04:00			
AHM		Ashland Municipal Airport (FAA: S03)	Ashland, Oregon, United States	UTC-08:00	Mar-Nov		
AHN	KAHN	Athens Ben Epps Airport	Athens, Georgia, United States	UTC-05:00	Mar-Nov		
AHO	LIEA	Alghero-Fertilia Airport	Alghero, Sardinia, Italy	UTC+01:00	Mar-Oct		
AHS	MHAH	Ahuas Airport	Ahuas, Honduras	UTC-06:00			
AHU	GMTA	Cherif Al Idrissi Airport	Al Hoceima, Morocco	UTC+00:00	Mar-Oct1		
AHW		Saih Rawl Airport	Saih Rawl, Oman	UTC+04:00			
AHY		Ambatolahy Airport	Ambatolahy, Madagascar	UTC+03:00			
AHZ	LFHU	Alpe d'Huez Airport	Alpe d'Huez, Rhone-Alpes, France	UTC+01:00	Mar-Oct		
-AI-							
AIA	KAIA	Alliance Municipal Airport	Alliance, Nebraska, United States	UTC-07:00	Mar-Nov		
AIC		Ailinglaplap Airok Airport	Airok, Ailinglaplap Atoll, Marshall Islands	UTC+12:00			
AID	KAID	Anderson Municipal Airport (Darlington Field)	Anderson, Indiana, United States	UTC-05:00	Mar-Nov		
AIE	AYAO	Aiome Airport	Aiome, Papua New Guinea	UTC+10:00			
AIF	SNAX	Assis Airport (former ICAO: SBAS)	Assis, Sao Paulo, Brazil	UTC-03:00	Oct-Feb		
AIG	FEFY	Yalinga Airport	Yalinga, Central African Republic	UTC+01:00			
AIH	AYAK	Aiambak Airport	Aiambak, Papua New Guinea	UTC+10:00			
AII	HDAS	Ali-Sabieh Airport	Ali Sabieh, Djibouti	UTC+03:00			
AIK	KAIK	Aiken Municipal Airport	Aiken, South Carolina, United States	UTC-05:00	Mar-Nov		
AIL		Ailigandi Airport	Ailigandi, Panama	UTC-05:00			
AIM		Ailuk Airport	Ailuk Atoll, Marshall Islands	UTC+12:00			
AIN	PAWI	Wainwright Airport (FAA: AWI)	Fort Wainwright, Alaska, United States	UTC-09:00	Mar-Nov		
AIO	KAIO	Atlantic Municipal Airport	Atlantic, Iowa, United States	UTC-06:00	Mar-Nov		
AIR	SSOU	Aripuana Airport	Aripuana, Mato Grosso, Brazil	UTC-04:00	Oct-Feb		
AIS	NGTR	Arorae Island Airport	Arorae Island, Kiribati	UTC+12:00			
AIT	NCAI	Aitutaki Airport	Aitutaki, Cook Islands	UTC-10:00			
AIU	NCAT	Enua Airport	Atiu Island, Cook Islands	UTC-10:00			
AIV	KAIV	George Downer Airport	Aliceville, Alabama, United States	UTC-06:00	Mar-Nov		
AIW		Ai-Ais Airport	Ai-Ais, Namibia	UTC+01:00	Sep-Apr		
AIY	KAIY	Atlantic City Municipal Airport (Bader Field) (closed 2006)	Atlantic City, New Jersey, United States				
AIZ	KAIZ	Lee C. Fine Memorial Airport	Lake Ozark, Missouri, United States	UTC-06:00	Mar-Nov		
-AJ-							
AJA	LFKJ	Ajaccio Napoleon Bonaparte Airport	Ajaccio, Corsica, France	UTC+01:00	Mar-Oct		
AJF	OESK	Al-Jawf Domestic Airport	Sakakah, Al Jawf, Saudi Arabia	UTC+03:00			
AJI	LTCO	Agri Airport	Agri, Turkey	UTC+03:00			
AJJ	GQNJ	Akjoujt Airport	Akjoujt, Mauritania	UTC+00:00			
AJK	OIHR	Arak Airport	Arak, Iran	UTC+03:30	Mar-Sep		
AJL	VELP	Lengpui Airport	Aizawl, Mizoram, India	UTC+05:30			
AJN	FMCV	Ouani Airport	Anjouan, Comoros	UTC+03:00			
AJR	ESNX	Arvidsjaur Airport	Arvidsjaur, Sweden	UTC+01:00	Mar-Oct		
AJS		Punta Abreojos Airstrip	Punta Abreojos, Baja California Sur, Mexico	UTC-07:00	Apr-Oct		
AJU	SBAR	Santa Maria Airport	Aracaju, Sergipe, Brazil	UTC-03:00			
AJY	DRZA	Mano Dayak International Airport	Agadez, Niger	UTC+01:00			
-AK-							
AKA	ZLAK	Ankang Wulipu Airport	Ankang, Shaanxi, China	UTC+08:00			
AKB	PAAK	Atka Airport (FAA: AKA)	Atka, Alaska, United States	UTC-10:00	Mar-Nov		
AKC	KAKR	Akron Fulton International Airport (FAA: AKR)	Akron, Ohio, United States	UTC-05:00	Mar-Nov		
AKD	VAAK	Akola Airport	Akola, Maharashtra, India	UTC+05:30			
AKE	FOGA	Akieni Airport	Akieni, Gabon	UTC+01:00			
AKF	HLKF	Kufra Airport	Kufra, Libya	UTC+02:00			
AKG	AYGU	Anguganak Airport	Anguganak, Papua New Guinea	UTC+10:00			
AKH	OEPS	Prince Sultan Air Base	Al-Kharj, Saudi Arabia	UTC+03:00			
AKI	PFAK	Akiak Airport	Akiak, Alaska, United States	UTC-09:00	Mar-Nov		
AKJ	RJEC	Asahikawa Airport	Asahikawa, Hokkaido, Japan	UTC+09:00			
AKK	PAKH	Akhiok Airport	Akhiok, Alaska, United States	UTC-09:00	Mar-Nov		
AKL	NZAA	Auckland Airport	Auckland, New Zealand	UTC+12:00	Sep-Apr		
AKM		Zakouma Airport	Zakouma National Park, Chad	UTC+01:00			
AKN	PAKN	King Salmon Airport	King Salmon, Alaska, United States	UTC-09:00	Mar-Nov		
AKO	KAKO	Colorado Plains Regional Airport	Akron, Colorado, United States	UTC-07:00	Mar-Nov		
AKP	PAKP	Anaktuvuk Pass Airport	Anaktuvuk Pass, Alaska, United States	UTC-09:00	Mar-Nov		
AKQ	WIAG	Gunung Batin Airport	Astraksetra, Indonesia	UTC+07:00			
AKR	DNAK	Akure Airport	Akure, Nigeria	UTC+01:00			
AKS	AGGA	Auki Gwaunaru'u Airport	Auki, Malaita, Solomon Islands	UTC+11:00			
AKT	LCRA	RAF Akrotiri	Akrotiri, Cyprus	UTC+02:00	Mar-Oct		
AKU	ZWAK	Aksu Airport	Aksu, Xinjiang, China	UTC+06:00			
AKV	CYKO	Akulivik Airport	Akulivik, Quebec, Canada	UTC-05:00	Mar-Nov		
AKW	OIAG	Aghajari Airport	Aghajari, Iran	UTC+03:30	Mar-Sep		
AKX	UATT	Aktobe Airport	Aktobe, Kazakhstan	UTC+05:00			
AKY	VYSW	Sittwe Airport	Sittwe, Myanmar	UTC+06:30			
-AL-							
ALA	UAAA	Almaty International Airport	Almaty, Kazakhstan	UTC+06:00			
ALB	KALB	Albany International Airport	Albany, New York, United States	UTC-05:00	Mar-Nov		
ALC	LEAL	Alicante–Elche Airport	Alicante, Valencia, Spain	UTC+01:00	Mar-Oct		
ALD	SPAR	Alerta Airport	Alerta, Peru	UTC-05:00			
ALE		Alpine–Casparis Municipal Airport (FAA: E38)	Alpine, Texas, United States	UTC-06:00	Mar-Nov		
ALF	ENAT	Alta Airport	Alta, Norway	UTC+01:00	Mar-Oct		
ALG	DAAG	Houari Boumediene Airport	Algiers, Algeria	UTC+01:00			
ALH	YABA	Albany Airport	Albany, Western Australia, Australia	UTC+08:00			
ALI	KALI	Alice International Airport	Alice, Texas, United States	UTC-06:00	Mar-Nov		
ALJ	FAAB	Alexander Bay Airport	Alexander Bay, South Africa	UTC+02:00			
ALK		Asella Airport	Asella, Ethiopia	UTC+03:00			
ALL	LIMG	Albenga Airport	Albenga, Liguria, Italy	UTC+01:00	Mar-Oct		
ALM	KALM	Alamogordo–White Sands Regional Airport	Alamogordo, New Mexico, United States	UTC-07:00	Mar-Nov		
ALN	KALN	St. Louis Regional Airport	Alton, Illinois, United States	UTC-06:00	Mar-Nov		
ALO	KALO	Waterloo Regional Airport	Waterloo, Iowa, United States	UTC-06:00	Mar-Nov		
ALP	OSAP	Aleppo International Airport	Aleppo, Syria	UTC+02:00	Mar-Oct		
ALQ	SSLT	Alegrete Airport	Alegrete, Rio Grande do Sul, Brazil	UTC-03:00	Oct-Feb		
ALR	NZLX	Alexandra Aerodrome	Alexandra, New Zealand	UTC+12:00	Sep-Apr		
ALS	KALS	San Luis Valley Regional Airport	Alamosa, Colorado, United States	UTC-07:00	Mar-Nov		
ALT		Alenquer Airport	Alenquer, Para, Brazil	UTC-03:00			
ALU	HCMA	Alula Airport	Alula, Somalia	UTC+03:00			
ALW	KALW	Walla Walla Regional Airport	Walla Walla, Washington, United States	UTC-08:00	Mar-Nov		
ALX	KALX	Thomas C. Russell Field	Alexander City, Alabama, United States	UTC-06:00	Mar-Nov		
ALY	HEAX	El Nouzha Airport	Alexandria, Egypt	UTC+02:00			
ALZ		Alitak Seaplane Base	Lazy Bay, Alaska, United States	UTC-09:00	Mar-Nov		
-AM-							
AMA	KAMA	Rick Husband Amarillo International Airport	Amarillo, Texas, United States	UTC-06:00	Mar-Nov		
AMB	FMNE	Ambilobe Airport	Ambilobe, Madagascar	UTC+03:00			
AMC	FTTN	Am Timan Airport	Am Timan, Chad	UTC+01:00			
AMD	VAAH	Sardar Vallabhbhai Patel International Airport	Ahmedabad, Gujarat, India	UTC+05:30			
AME		Alto Molocue Airport	Alto Molocue, Mozambique	UTC+02:00			
AMF	AYAA	Ama Airport	Ama, Papua New Guinea	UTC+10:00			
AMG		Amboin Airport	Amboin, Papua New Guinea	UTC+10:00			
AMH	HAAM	Arba Minch Airport	Arba Minch, Ethiopia	UTC+03:00			
AMI	WADA	Selaparang Airport (closed 2011)	Mataram, Indonesia				
AMJ	SNAR	Almenara Airport	Almenara, Minas Gerais, Brazil	UTC-03:00	Oct-Feb		
AMK		Animas Air Park (FAA: 00C)	Durango, Colorado, United States	UTC-07:00	Mar-Nov		
AML		Puerto Armuelles Airport	Puerto Armuelles, Panama	UTC-05:00			
AMM	OJAI	Queen Alia International Airport	Amman, Jordan	UTC+02:00	Mar-Oct		
AMN	KAMN	Gratiot Community Airport	Alma, Michigan, United States	UTC-05:00	Mar-Nov		
AMO	FTTU	Mao Airport	Mao, Chad	UTC+01:00			
AMP	FMSY	Ampanihy Airport	Ampanihy, Madagascar	UTC+03:00			
AMQ	WAPP	Pattimura Airport	Ambon, Indonesia	UTC+09:00			
AMS	EHAM	Amsterdam Airport Schiphol	Amsterdam, Netherlands	UTC+01:00	Mar-Oct		
AMT	YAMT	Amata Airport	Amata, South Australia, Australia	UTC+09:30			
AMU	AYAM	Amanab Airport	Amanab, Papua New Guinea	UTC+10:00			
AMV	ULDD	Amderma Airport	Amderma, Nenets Autonomous Okrug, Russia	UTC+03:00			
AMW	KAMW	Ames Municipal Airport	Ames, Iowa, United States	UTC-06:00	Mar-Nov		
AMX		Ammaroo Airport	Ammaroo, Northern Territory, Australia	UTC+09:30			
AMY		Ambatomainty Airport	Ambatomainty, Madagascar	UTC+03:00			
AMZ	NZAR	Ardmore Airport	Ardmore, New Zealand	UTC+12:00	Sep-Apr		
-AN-							
ANB	KANB	Anniston Regional Airport	Anniston, Alabama, United States	UTC-06:00	Mar-Nov		
ANC	PANC	Ted Stevens Anchorage International Airport	Anchorage, Alaska, United States	UTC-09:00	Mar-Nov		
AND	KAND	Anderson Regional Airport	Anderson, South Carolina, United States	UTC-05:00	Mar-Nov		
ANE	LFJR	Angers – Loire Airport	Angers, Pays de la Loire, France	UTC+01:00	Mar-Oct		
ANF	SCFA	Cerro Moreno International Airport	Antofagasta, Chile	UTC-04:00	Aug-May		
ANG	LFBU	Angouleme – Cognac International Airport	Angouleme, Poitou-Charentes, France	UTC+01:00	Mar-Oct		
ANI	PANI	Aniak Airport	Aniak, Alaska, United States	UTC-09:00	Mar-Nov		
ANJ	FCBZ	Zanaga Airport	Zanaga, Republic of the Congo	UTC+01:00			
ANK	LTAD	Etimesgut Air Base	Ankara, Turkey	UTC+03:00			
ANL		Andulo Airport	Andulo, Angola	UTC+01:00			
ANM	FMNH	Antsirabato Airport	Antalaha, Madagascar	UTC+03:00			
ANN	PANT	Annette Island Airport	Annette Island, Alaska, United States	UTC-08:00			
